ID,Pipeline,PipelineStage,Notes,TranslationNotes,Tags,Text
1,,,Mod name.,,,执政官模式 v1.1.6
2,,,Mod description.,,,执政官模式介绍\r\n5.19：允许部分单位和建筑转换归属权，选择单位或建筑，再点击右上角的转换图标即可完成\r\n5.18：自动将所有军事建筑添加到编队0中\r\n5.17：修复某些情况命官无限、英格兰国王无限的问题，新增国王模式，击杀国王即可消灭队伍。增加队友资源ui\r\n5.16：武将开局资源可以选择是否保留，新增游牧开局（前30s 删除农民可重生）\r\n5.15：文官募兵时英格兰国王数量限制（2个），集结点微调。调整观战ui\r\n5.14：卡顿问题修复、移除颜色机制，增加队伍文官槽位选择；增加队伍人口上限，单人队伍无角色，纯ai队伍无角色设置；修复大汗问题，升本提示问题\r\n5.13：修复集结点无效、马里侦察兵、民兵归属问题\r\n5.12：文官募兵启用动态人口上限机制，防止武将兵力过多。修复部分bug\r\n5.9：新增单一民族选项，开启后，开局只保留文官的单位和建筑；\r\n当前功能：\r\n1、限每队两人，一人充当将军，负责初期的侦察以及作战（包含造兵和部分科技升级）。一人充当文官，负责经济发展、各类建筑的建造以及科技升级等等。启用文官造兵后，武将只需要负责作战\r\n2、武将方人口跟随着文官人口容量变化\r\n3、时代、科技任意一方升级后，都将作用到整个队伍\r\n4、经济需要由文官通过上贡给武将，武将才有经济去升科技和造兵，开局即可上贡，且无需缴税。\r\n5、军事建筑在文官建造好后，将交给武将来使用。启用文官募兵后，将失去此特性\r\n6、不建议使用水图，容易会出现人口超限问题\r\n7、若队伍内民族不一样，则可以造不同的民族建筑。但因为部分建筑或科技的文明限制（队友文明和自身文明不一致），导致部分科技不能作用在所有单位或建筑上\r\n8、武将请勿使用蒙古，蒙古建筑无法展开。马里科技不能升级\r\n\r\n后续计划：\r\n1、人口额度转移功能，通过这个功能来调整军事人口数量上限\r\n2、单位、建筑的使用权转移技能，精确到单个单位或建筑\r\n问题反馈qq群：436218837
3,,,,,,"在本模组中，每两个玩家将为一队，分别扮演文官和武将的角色。\r\n文官的职责：\r\n主要是发展经济，建造所有类型的建筑，同时可以选择是否出兵，兵的控制权将分配给武将。\r\n武将的职责：\r\n主要是负责前期的视野探查以及带兵出战，也可以选择自己出战，需要文官进贡资源。\r\n其它特点：\r\n1、2v1，玩家可以通过合作来挑战单个实力超群的玩家。\r\n2、控制权转换：在开启""单一民族""后，攻城器、军事建筑、僧侣等将可以改变控制权归属\r\n3、支持游牧开局，开局30秒内可以删除农民以重生\r\n4、支持弑君模式\r\n5、开局即可进贡，无任何限制，且不需交税\r\n\r\n因个人技术或编辑器限制原因以下bug未能修复，敬请谅解：\r\n一般情况下：\r\n1、因不能感知鹿、猪被击杀的，所以罗斯赏金可能不能正常获取\r\n2、部分民族特性和科技可能会失效，在设置项中启用""单一民族""，并调整建筑的控制权能够有效的缓解该问题\r\n3、如果需要AI扮演文官，请勿在设置项中启用队伍人口上限\r\n4、在文官募兵开启的情况下，如果不启用队伍人口上限，将会导致武将人口不受限制\r\n双民族开局下：\r\n1、武将民族为蒙古时，原归属于武将的建筑将不能正常展开\r\n2、当武将为马里时，原归属于武将的农民造的建筑不能正常升级科技\r\n\r\n问题反馈：heartmove@outlook.com\r\n"
4,,,,,,文官槽位
5,,,,,,队伍的一楼
6,,,,,,队伍的二楼
7,,,,,,文官募兵
8,,,,,,启用文官造兵后，所有建筑的使用权都会给文官，出兵也是由文官来执行，双方人口上限将采用动态人口上限机制，防止武将人口过多
9,,,,,,单一民族
10,,,,,,启用后，开局将只保留文官的建筑和单位，失去能够造多民族兵种特性
11,,,,,,角色设置
12,,,,,,启用按颜色设置角色
13,,,,,,采集效率
14,,,,,,1.0
15,,,,,,1.5
16,,,,,,2.0
17,,,,,,3.0
18,,,,,,4.0
19,,,,,,5.0
20,,,,,,6.0
21,,,,,,7.0
22,,,,,,8.0
23,,,,,,随机
24,,,,,,已过期，蓝、红、黄、绿为文官，蓝绿、紫色、橙色、粉红色为将军
25,,,,,,已过期，角色颜色指定错误，已随机分配角色
26,,,,,,启用队伍人口上限
27,,,,,,启用队伍人口上限后，将不再简单的限制单个玩家的人口上限。因为是限制队伍人口上限，所以在队伍当前人口上限不变的情况下，玩家的人口会随着单位的生死而变化
28,,,,,,已过期，启用按颜色设置角色时，需要所有玩家提前开启单独颜色
29,,,,,,队伍一文官楼层
30,,,,,,队伍二文官楼层
31,,,,,,队伍三文官楼层
